the_geom,the_geom_webmercator,objectid,serialnum,description,recycler,lat,lng,icon
0101000020E61000005EE1CD3D9DC952C02131080AF8004440,0101000020110F000037AC5C1E9DE95FC13CD2F794F8905241,878,1401900,Germantown & Venango,no,40.00756956,-75.15022225,trash
0101000020E61000009DAA98E05DCA52C08ADE9A3E93F94340,0101000020110F000010B97F54E4EA5FC1E4BE38BAC6885241,879,1401901,SW 13th /Sansom,yes,39.94980605,-75.16197982,trash
0101000020E6100000E6BC38C84CC952C07822E14C9CF94340,0101000020110F0000F9964B7314E95FC1B62992C2D0885241,880,1401902,Sw Bodine/Market,no,39.95008241,-75.14531141,trash
0101000020E6100000737C693CEBCA52C0B60804C1A0F94340,0101000020110F0000EB392571D4EB5FC110E7B2B1D5885241,881,1401903,Ne 18th/Walnut,yes,39.95021832,-75.17060767,trash
0101000020E61000000C1BD52F43CB52C05B005A005BF84340,0101000020110F00009646DAD569EC5FC120F9B7D36C875241,882,1401904,NE 20th & Carpenter,yes,39.94027714,-75.17597576,trash
0101000020E61000009654BBD30CC652C0EA9403AC4DFF4340,0101000020110F00006B55804A8FE35FC18C1455DE1F8F5241,883,1401905,Se Castor/Aramingo,yes,39.99455786,-75.0945329,trash
0101000020E61000008CE2B08F15D152C08BC8B6B730FD4340,0101000020110F00009DD7E6624DF65FC13FF7F33DC88C5241,884,1401906,Sw Sherwood/Haverford ave,yes,39.97804924,-75.266941,trash
0101000020E610000050958E41B4CD52C0C044111BB2FA4340,0101000020110F000043620F948FF05FC16301668D048A5241,885,1401907,Sw 46th/Market,no,39.95856036,-75.21412696,trash
0101000020E6100000F83B0B7DB3CD52C0A790280CB9FA4340,0101000020110F0000094A43468EF05FC184F36F3E0C8A5241,886,1401908,Nw 46th/Market,no,39.9587722,-75.21408011,trash
0101000020E6100000EE5B077470CE52C046339220E7FA4340,0101000020110F000015E40A40CFF15FC1F3CF294D3F8A5241,887,1401909,5215 Market,no,39.96017844,-75.2256136,trash
0101000020E610000044D02AC012D152C05C1917C32DFD4340,0101000020110F0000E3E1B79C48F65FC1CF065EF7C48C5241,888,1401910,Se Sherwood/Haverford ave,no,39.97795905,-75.26676945,trash
0101000020E6100000DB20BA0634C652C0256A23FC29FF4340,0101000020110F0000D05CF3DFD1E35FC19F8E6E4EF88E5241,889,1401911,Nw Venango/Aramingo,no,39.99346878,-75.09692543,trash
0101000020E610000044FCE971EACA52C0DC661A719CF94340,0101000020110F0000239E2E19D3EB5FC1C7C4B3EAD0885241,890,1401912,Se 18th/Walnut,no,39.95008673,-75.17055939,trash
0101000020E610000047A72BEAE8D052C019E2DF70FAFC4340,0101000020110F0000B50CB68C01F65FC1D88C1E168C8C5241,891,1401913,Sw Woodbine/Haverford ave,yes,39.97639285,-75.26421599,trash
0101000020E610000044AD4120A6C952C0F037CD0B32014440,0101000020110F00006B87BF35ACE95FC1D205B1E638915241,892,1401914,NE Germantown & Erie Aves,no,40.00933979,-75.15076453,trash
0101000020E6100000F670216143C752C0C55A64428EFF4340,0101000020110F0000089DA0CB9EE55FC105548478678F5241,893,1401915,Nw Kensington/Allegheny,no,39.99652891,-75.11348751,trash
0101000020E6100000F35BB19635C952C03032546479F94340,0101000020110F0000D119CE0DEDE85FC114FD1416AA885241,894,1401916,35 S 2nd street (between Market/Chestnut),no,39.94901709,-75.14389579,trash
0101000020E610000006A0398C2EC952C04F9284A0C1F94340,0101000020110F000007DE2118E1E85FC1F99A181DFA885241,895,1401917,Se 2nd/Cuthbert (Near Arden),yes,39.95122153,-75.14346605,trash
